KEY	ZipCode	City	District	Street	HouseNr	X_Coordinate	Y_Coordinate	Flag_Coordinates	Version	House_ID	Image	Random
1461200000010690	1109	Dresden	Klotzsche	Königsbrück Landstr	69	13,7839813	51,1143508	1	20170201	100009290	http://maps.google.com/maps/api/staticmap?center=51.1143508,13.7839813&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1143508,13.7839813	75
1461200000010790	1109	Dresden	Klotzsche	Karl-Marx-Str.	20	13,7741011	51,1128618	1	20170201	100009387	http://maps.google.com/maps/api/staticmap?center=51.1128618,13.7741011&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1128618,13.7741011	81
1461200000011080	1109	Dresden	Klotzsche	Klotzscher Hauptstr.	21	13,7703627	51,1095729	1	20170201	100009663	http://maps.google.com/maps/api/staticmap?center=51.1095729,13.7703627&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1095729,13.7703627	47
1461200000011100	1109	Dresden	Klotzsche	Klotzscher Hauptstr.	7	13,772012	51,1086819	1	20170201	100009684	http://maps.google.com/maps/api/staticmap?center=51.1086819,13.772012&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1086819,13.772012	52
1461200000011270	1109	Dresden	Hellerau/Wilschdorf	Leeraue	91M	13,7218843	51,1097199	1	20170201	100009836	http://maps.google.com/maps/api/staticmap?center=51.1097199,13.7218843&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1097199,13.7218843	70
1461200000011380	1109	Dresden	Hellerau/Wilschdorf	Ludwig-Kossuth-Str.	61A	13,7457972	51,1160549	2	20170201	100009947	http://maps.google.com/maps/api/staticmap?center=51.1160549,13.7457972&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1160549,13.7457972	30
1461200000011390	1109	Dresden	Hellerau/Wilschdorf	Ludwig-Kossuth-Str.	7	13,7333136	51,1183342	1	20170201	100009952	http://maps.google.com/maps/api/staticmap?center=51.1183342,13.7333136&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1183342,13.7333136	57
1461200000011420	1109	Dresden	Klotzsche	Max-Hünig-Str.	1	13,7712528	51,108914	1	20170201	100009979	http://maps.google.com/maps/api/staticmap?center=51.108914,13.7712528&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.108914,13.7712528	48
1461200000011480	1109	Dresden	Hellerau/Wilschdorf	Moritzburger Weg	28A	13,7502048	51,1124454	1	20170201	100010037	http://maps.google.com/maps/api/staticmap?center=51.1124454,13.7502048&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1124454,13.7502048	54
1461200000011490	1109	Dresden	Hellerau/Wilschdorf	Moritzburger Weg	38A	13,7507826	51,1115149	1	20170201	100010047	http://maps.google.com/maps/api/staticmap?center=51.1115149,13.7507826&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1115149,13.7507826	60
1461200000011720	1109	Dresden	Klotzsche	Rostocker Str.	8	13,7829718	51,1172825	1	20170201	100010255	http://maps.google.com/maps/api/staticmap?center=51.1172825,13.7829718&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1172825,13.7829718	46
1461200000011830	1109	Dresden	Klotzsche	Schänkenweg	4	13,7752641	51,1169273	1	20170201	100010359	http://maps.google.com/maps/api/staticmap?center=51.1169273,13.7752641&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1169273,13.7752641	83
1461200000011850	1109	Dresden	Klotzsche	Selliner Str.	17	13,786005	51,1203836	1	20170201	100010373	http://maps.google.com/maps/api/staticmap?center=51.1203836,13.786005&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1203836,13.786005	83
1461200000012010	1109	Dresden	Hellerau/Wilschdorf	Urnenfeldweg	6	13,7497046	51,1135091	1	20170201	100010520	http://maps.google.com/maps/api/staticmap?center=51.1135091,13.7497046&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1135091,13.7497046	1
1461200000012090	1109	Dresden	Hellerau/Wilschdorf	Warnemünder Str.	5A	13,7187265	51,1212908	1	20170201	100010589	http://maps.google.com/maps/api/staticmap?center=51.1212908,13.7187265&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1212908,13.7187265	11
1461200000012320	1109	Dresden	Klotzsche	Am Wasserwerk	21A	13,7945467	51,1222278	1	20170201	100010791	http://maps.google.com/maps/api/staticmap?center=51.1222278,13.7945467&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1222278,13.7945467	58
1461200000012420	1109	Dresden	Hellerau/Wilschdorf	An der Jungen Heide	8A	13,7117986	51,1149621	1	20170201	100010847	http://maps.google.com/maps/api/staticmap?center=51.1149621,13.7117986&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1149621,13.7117986	82
1461200000012440	1109	Dresden	Hellerau/Wilschdorf	Am Schulfeld	18	13,761884	51,1142604	1	20170201	100010862	http://maps.google.com/maps/api/staticmap?center=51.1142604,13.761884&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1142604,13.761884	23
1461200000012460	1109	Dresden	Hellerau/Wilschdorf	Am Schulfeld	33	13,7617484	51,1144882	1	20170201	100010879	http://maps.google.com/maps/api/staticmap?center=51.1144882,13.7617484&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1144882,13.7617484	98
1461200000012580	1109	Dresden	Klotzsche	Rudolf-Nehmer-Str.	7	13,7703465	51,1233247	1	20170201	100010950	http://maps.google.com/maps/api/staticmap?center=51.1233247,13.7703465&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1233247,13.7703465	13
1461200000013190	1127	Dresden	Pieschen-Süd	Leipziger Str.	28	13,7284254	51,0710538	1	20170201	100011433	http://maps.google.com/maps/api/staticmap?center=51.0710538,13.7284254&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0710538,13.7284254	3
1461200000013220	1127	Dresden	Pieschen-Süd	Leipziger Str.	68	13,7242979	51,0737441	1	20170201	100011459	http://maps.google.com/maps/api/staticmap?center=51.0737441,13.7242979&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0737441,13.7242979	44
1461200000013250	1127	Dresden	Pieschen-Süd	Leisniger Platz	4	13,7241044	51,0805316	1	20170201	100011484	http://maps.google.com/maps/api/staticmap?center=51.0805316,13.7241044&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0805316,13.7241044	9
1461200000013400	1127	Dresden	Pieschen-Süd	Mohnstr.	20A	13,7219795	51,0792238	1	20170201	100011632	http://maps.google.com/maps/api/staticmap?center=51.0792238,13.7219795&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0792238,13.7219795	70
